ID,Name,Parameter,Language,Frequency,Confidence,References
7A-abi,No glottalized consonants,Glottalized Consonants,Abipón,,,Najlis 1966
7A-abk,Ejectives only,Glottalized Consonants,Abkhaz,,,Hewitt 1979
7A-ach,No glottalized consonants,Glottalized Consonants,Aché,,,Susnik 1974
7A-acm,No glottalized consonants,Glottalized Consonants,Achumawi,,,Olmsted 1966;Olmsted 1964
7A-aco,Ejectives and glottalized resonants,Glottalized Consonants,Acoma,,,Miller 1966
7A-adz,No glottalized consonants,Glottalized Consonants,Adzera,,,Holzknecht 1973
7A-agh,No glottalized consonants,Glottalized Consonants,Aghem,,,Hyman 1979
7A-aht,Ejectives only,Glottalized Consonants,Ahtna,,,Kari 1990
7A-aik,No glottalized consonants,Glottalized Consonants,Aikaná,,,Hanke 1956;Aikhenvald and Dixon 1999
7A-ain,No glottalized consonants,Glottalized Consonants,Ainu,,,Simeon 1969;Patrie 1982
7A-aiz,Implosives only,Glottalized Consonants,Aizi,,,Herault 1971
7A-akn,No glottalized consonants,Glottalized Consonants,Akan,,,Welmers 1946;Dolphyne 1988;Ladefoged 1964;Schachter and Fromkin 1968;Stewart 1967
7A-akw,No glottalized consonants,Glottalized Consonants,Akawaio,,,Edwards 1978
7A-abm,No glottalized consonants,Glottalized Consonants,Alabama,,,Rand 1968
7A-ala,No glottalized consonants,Glottalized Consonants,Alamblak,,,Bruce 1984
7A-alw,No glottalized consonants,Glottalized Consonants,Alawa,,,Sharpe 1972
7A-alb,No glottalized consonants,Glottalized Consonants,Albanian,,,Newmark 1957
7A-aea,No glottalized consonants,Glottalized Consonants,Aleut (Eastern),,,Jacobson 1944;Rozelle 1997;Bergsland 1994;Cho et al. 1997;Menovshchikov 1968;Bergsland 1956;Bergsland 1959
7A-ald,No glottalized consonants,Glottalized Consonants,Alladian,,,Dumestre and Duponchel 1971;Duponchel 1971
7A-amc,No glottalized consonants,Glottalized Consonants,Amahuaca,,,Osborn 1948
7A-ame,No glottalized consonants,Glottalized Consonants,Amele,,,Roberts 1987
7A-amh,Ejectives only,Glottalized Consonants,Amharic,,,Hayward and Hayward 1999
7A-amo,No glottalized consonants,Glottalized Consonants,Amo,,,Anderson 1980;Di Luzio 1972
7A-amu,No glottalized consonants,Glottalized Consonants,Amuesha,,,Fast 1953;Wise 1958
7A-amz,No glottalized consonants,Glottalized Consonants,Amuzgo,,,Bauernschmidt 1965;Longacre 1966
7A-adk,No glottalized consonants,Glottalized Consonants,Andoke,,,Landaburu 1979
7A-ant,No glottalized consonants,Glottalized Consonants,Angaatiha,,,Huisman and Lloyd 1981;Huisman 1973;Huisman et al. 1981
7A-anc,Implosives only,Glottalized Consonants,Angas,,,Burquest 1971
7A-ani,Ejectives only,Glottalized Consonants,//Ani,,,Vossen 1986;Vossen 1997
7A-ao,No glottalized consonants,Glottalized Consonants,Ao,,,Gowda 1975;Gowda 1972
7A-api,No glottalized consonants,Glottalized Consonants,Apinayé,,,Burgess and Ham 1968
7A-apu,No glottalized consonants,Glottalized Consonants,Apurinã,,,Facundes 2000
7A-arb,No glottalized consonants,Glottalized Consonants,Arabela,,,Rich 1963
7A-aeg,No glottalized consonants,Glottalized Consonants,Arabic (Egyptian),,,Mitchell 1962;Kennedy 1960;Tomiche 1964
7A-ana,No glottalized consonants,Glottalized Consonants,Araona,,,de Pitman 1981
7A-arp,No glottalized consonants,Glottalized Consonants,Arapesh (Mountain),,,Conrad and Wogiga 1991
7A-arc,Ejectives only,Glottalized Consonants,Archi,,,Kodzasov 1977
7A-arm,Ejectives only,Glottalized Consonants,Armenian (Eastern),,,Allen 1950
7A-amp,No glottalized consonants,Glottalized Consonants,Arrernte (Mparntwe),,,Henderson 1994
7A-asm,No glottalized consonants,Glottalized Consonants,Asmat,,,Voorhoeve 1965
7A-ata,No glottalized consonants,Glottalized Consonants,Atayal,,,Egerod 1966b
7A-ava,Ejectives only,Glottalized Consonants,Avar,,,Charachidzé 1981;Zhirkov 1936
7A-awp,No glottalized consonants,Glottalized Consonants,Awa Pit,,,Curnow 1997
7A-awn,No glottalized consonants,Glottalized Consonants,Awngi,,,Hetzron 1969;Hetzron 1976
7A-aym,Ejectives only,Glottalized Consonants,Aymara (Central),,,Martín 1969
7A-aze,No glottalized consonants,Glottalized Consonants,Azerbaijani,,,Householder and Lofti 1965
7A-bag,Implosives only,Glottalized Consonants,Bagirmi,,,Stevenson 1969
7A-bai,No glottalized consonants,Glottalized Consonants,Bai,,,Dell 1981
7A-baj,No glottalized consonants,Glottalized Consonants,Bajau (Sama),,,Verheijen 1986
7A-bki,No glottalized consonants,Glottalized Consonants,Bakairí,,,Wheatley 1969;Wheatley 1973
7A-bam,No glottalized consonants,Glottalized Consonants,Bambara,,,Bird et al. 1977
7A-byu,No glottalized consonants,Glottalized Consonants,Bandjalang (Yugumbir),,,Cunningham 1969
